room_id,price_info_str,room_size,maintenance_cost_str,room_floor_str,room_options,direction_str,building_approval_date_str,safeties
6143e400a48a59223751cb6e,"[['300', '50']]",19.83,6만 원,3층,"['책상', '옷장']",남,2019.04.08,"[{'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
6146b6266227fe2db616386e,"[['500', '39']]",23.14,4만 원,3층,"['옷장', '신발장', '인덕션', '전자도어락']",북서,2002.12.04,"[{'seq': 3, 'name': 'CCTV'}]"
6130637514ec260c50318df4,"[['100', '48']]",19.83,6만 원,3층,"['옷장', '신발장', '인덕션', '전자레인지']",남서,2012.10.24,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
6140730e24e82221cf937267,"[['1000', '30']]",19.83,5만 원,2층,"['옷장', '신발장', '인덕션', '전자도어락']",북,2009.12.15,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
614db56f3c0ee250bfdd2038,"[['3000', '20']]",26.44,없음,1층,['가스레인지'],동,1975.11.29,
6121a8a0034ae90720d89657,"[['1000', '35']]",19.83,5만 원,4층,"['신발장', '인덕션', '전자도어락']",서,2004.02.26,"[{'seq': 0, 'name': '비디오폰'}, {'seq': 1, 'name': '공동현관'}, {'seq': 2, 'name': '경비원'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
61297e552c9c21134e0bfd30,"[['500', '40']]",16.52,5만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",북,2017.06.12,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
61406071f7ce7f233fa3da13,"[['500', '40']]",16.52,5만 원,3층,"['옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",북동,2015.02.12,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
612f5f95203c7237ef401642,"[['500', '45']]",19.83,없음,반지층,"['신발장', '가스레인지', '전자도어락']",남,2014.01.10,"[{'seq': 1, 'name': '공동현관'}, {'seq': 4, 'name': '방범창'}]"
61297e40af92ae134e97076e,"[['2000', '30']]",16.52,4만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2016.08.16,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
614dcb6d8d938b2c2dfb584b,"[['1000', '55']]",16.69,5만 원,중층,"['옷장', '신발장', '인덕션', '전자도어락']",북,2018.09.14,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
61297e3152fa6b1e1cd452b2,"[['500', '38']]",23.14,3만 원,3층,"['옷장', '신발장', '가스레인지', '전자도어락']",동,2002.11.14,"[{'seq': 1, 'name': '공동현관'}, {'seq': 5, 'name': '인터폰'}]"
614c1cd5491f5c1318404a06,"[['5000', '10']]",19.83,5만 원,3층,"['옷장', '신발장', '인덕션', '전자도어락']",남동,2009.05.28,"[{'seq': 0, 'name': '비디오폰'}, {'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
613eafb42440c528b74fbf92,"[['2000', '50']]",26.44,3만 원,3층,"['신발장', '인덕션']",서,2018.02.12,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
61163cb6a5d8fd259e38b6c1,"[['1000', '50']]",33.05,4만 원,4층,"['책상', '옷장', '신발장', '가스레인지', '전자레인지', '전자도어락']",남,2012.07.31,"[{'seq': 0, 'name': '비디오폰'}, {'seq': 1, 'name': '공동현관'}, {'seq': 7, 'name': '화재경보기'}]"
6136fe21137f0921b100d31e,"[['500', '44']]",14.87,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",서,2016.10.27,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
61297e23f749af0b05e5dc95,"[['200', '30']]",16.52,4만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",서,2013.06.28,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
61297e733a3d4d1d177bd2b6,"[['1000', '35']]",16.52,5만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",서,2016.07.13,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
61318646c5d09b5e1b68fdda,"[['500', '35']]",19.83,5만 원,2층,"['신발장', '인덕션', '전자도어락']",동,2004.02.26,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
612f54083fcd573087bd2ce4,"[['500', '35']]",16.52,없음,반지층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2014.01.10,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 7, 'name': '화재경보기'}]"
61297e4a0de5b61e1c1e3551,"[['500', '24']]",16.52,4만 원,2층,"['옷장', '신발장', '인덕션', '전자도어락']",동,1988.08.10,"[{'seq': 1, 'name': '공동현관'}, {'seq': 5, 'name': '인터폰'}]"
6131e5ca24c0635678e22e80,"[['1000', '60']]",17.27,6만 원,10층,"['신발장', '인덕션', '전자도어락']",북,2016.02.05,"[{'seq': 0, 'name': '비디오폰'}, {'seq': 1, 'name': '공동현관'}, {'seq': 2, 'name': '경비원'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 6, 'name': '카드키'}, {'seq': 7, 'name': '화재경보기'}]"
614c5fffae5c746d737f7ec4,"[['500', '40']]",16.52,5만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",서,2017.08.25,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
61297e63578ad90b051daa56,"[['200', '29']]",16.52,4만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2015.12.10,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
60cfdacd70f5651775b4948c,"[['1000', '40']]",19.83,4만 원,3층,"['책상', '옷장', '신발장', '인덕션']",동,2005.08.12,
611c606f13d0767ba572ecce,"[['800', '40']]",16.52,4만 원,3층,"['옷장', '신발장', '인덕션', '전자레인지']",남,2016.01.25,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
60f51cb3a72547131d2e0acc,"[['1000', '50']]",26.44,4만 원,4층,[],남,2012.07.31,
60f6306657e35359da608826,"[['300', '26']]",16.5,4만 원,반지층,"['옷장', '신발장', '인덕션', '전자레인지']",남,2017.01.13,
61406d6e6d26f91256356818,"[['500', '30']]",13.22,10만 원,2층,"['옷장', '신발장', '가스레인지', '전자레인지', '전자도어락']",북서,2007.11.08,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
